Regions,Year,Cases,LAT,LONG
Massachusetts,2014,1,42.3788774,-72.032366
New York,2014,1,40.741895,-73.989308
Indiana,2014,1,40.3270127,-86.1746933
Michigan,2014,1,43.6211955,-84.6824346
Ohio,2014,2,40.2253569,-82.6881395
Missouri,2014,1,38.7604815,-92.5617875
Alabama,2014,1,33.2588817,-86.8295337
Arizona,2014,1,34.395342,-111.763275
Utah,2014,1,39.4225192,-111.714358
California,2014,5,36.7014631,-118.755997
Hawaii,2014,23,19.5938015,-155.4283701
Rhode Island,2015,1,41.7962409,-71.5992372
New York,2015,5,40.741895,-73.989308
Illinois,2015,2,40.0796606,-89.4337288
Indiana,2015,2,40.3270127,-86.1746933
Florida,2015,4,27.7567667,-81.4639835
Maryland,2015,3,39.5162401,-76.9382069
California,2015,1,36.7014631,-118.755997
Hawaii,2015,22,19.5938015,-155.4283701
Massachusetts,2016,2,42.3784,-72.032366
Rhode Island,2016,1,41.7962409,-71.5992372
Vermont,2016,1,44.5990718,-72.5002608
New York,2016,7,40.7127281,-74.0060152
Illinois,2016,6,40.0796606,-89.4337288
Michigan,2016,5,43.6211955,-84.6824346
Ohio,2016,1,40.2253569,-82.6881395
Minnesota,2016,1,45.9896587,-94.6113288
Missouri,2016,1,38.7604815,-92.5617875
Nebraska,2016,1,41.7370229,-99.5873816
Florida,2016,2,27.7567667,-81.4639835
Maryland,2016,3,39.5162401,-76.9382069
Louisiana,2016,3,30.8703881,-92.007126
Utah,2016,1,39.4225192,-111.714358
California,2016,6,36.7014631,-118.755997
Hawaii,2016,33,19.5938015,-155.4283701
Oregon,2016,2,43.9792797,-77.0403711
Washington,2016,2,38.8950368,-77.0365427
Rhode Island,2017,3,41.7962409,-71.5992372
Vermont,2017,1,44.5990718,-72.5002608
New York,2017,5,40.7127281,-74.0060152
Pennsylvania,2017,1,40.9699889,-77.7278831
Illinois,2017,5,40.0796606,-89.4337288
Michigan,2017,4,43.6211955,-84.6824346
Ohio,2017,2,40.2253569,-82.6881395
Wisconsin,2017,2,44.4308975,-89.6884637
Minnesota,2017,2,45.9896587,-94.6113288
District of Columbia,2017,1,38.8938474,-76.9880428
Florida,2017,3,27.7567667,-81.4639835
Georgia,2017,1,32.3293809,-83.1137366
Maryland,2017,2,39.5162401,-76.9382069
North Carolina,2017,1,35.6729639,-79.0392919
Virginia,2017,3,34.5802074,-105.996047
Louisiana,2017,1,30.8703881,-92.007126
Arizona,2017,1,34.395342,-111.763275
Utah,2017,1,39.4225192,-111.714358
California,2017,6,36.7014631,-118.755997
Hawaii,2017,25,19.5938015,-155.4283701
Oregon,2017,2,43.9792797,-77.0403711
Rhode Island,2018,1,41.7962409,-71.5992372
New York,2018,9,40.7127281,-74.0060152
Pennsylvania,2018,4,40.9699889,-77.7278831
Illinois,2018,3,40.0796606,-89.4337288
Michigan,2018,1,43.6211955,-84.6824346
Ohio,2018,3,40.2253569,-82.6881395
Wisconsin,2018,8,44.4308975,-89.6884637
Missouri,2018,2,38.7604815,-92.5617875
Florida,2018,7,27.7567667,-81.4639835
Georgia,2018,2,32.3293809,-83.1137366
Maryland,2018,5,39.5162401,-76.9382069
Virginia,2018,3,34.5802074,-105.996047
