"Region","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","LAT","LONG"
"Austria",9,11,9,9,3,16,15,9,12,14,68,24,24,11,15,10,47.516232,14.550072
"Belgium",8,5,9,5,9,14,14,21,16,19,17,20,18,11,33,13,50.503887,4.469936
"Bulgaria",16,9,11,11,12,4,3,31,14,9,5,15,7,1,6,4,42.733883,25.4856617
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.126411,33.1451285
"Czechia",24,17,32,40,31,22,6,35,17,18,21,10,24,27,30,19,12.84115,15.53019
"Germany",165,66,92,70,50,85,80,123,87,91,129,117,160,120,164,153,51.1638175,10.4478313
"Denmark",8,8,2,6,9,7,3,7,8,15,22,19,13,14,14,8,55.670249,10.3333283
"Estonia",2,2,1,1,2,5,2,2,2,3,5,6,5,10,8,9,58.7523778,25.3319078
"Greece",13,12,31,24,20,14,24,36,35,19,24,18,27,17,21,14,38.9953683,21.9877132
"Spain",3,5,0,0,4,0,0,0,3,16,19,65,49,20,45,50,39.3260685,-4.8379791
"Finland",2,8,12,0,8,2,1,2,2,1,0,0,0,0,0,0,63.2467777,25.9209164
"Hungary",31,15,25,9,16,*,7,13,10,15,14,19,14,3,2,3,47.1817585,19.5060937
"Ireland",22,29,38,17,16,15,13,22,16,26,19,19,17,25,16,13,52.865196,-7.9794599
"Italy",45,40,5,33,43,46,33,42,38,54,32,41,34,18,26,8,42.6384261,12.674297
"Lithuania",6,2,0,5,3,20,10,3,10,18,16,3,0,0,1,0,55.3500003,23.7499997
"Luxembourg",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,49.8158683,6.1296751
"Latvia",2,3,3,2,6,1,1,7,2,5,8,4,4,3,1,0,56.8406494,24.7537645
"Malta",1,2,25,1,1,3,3,0,2,1,2,2,4,0,6,2,35.8885993,14.4476911
"Netherlands",37,37,4,30,29,48,26,100,86,95,77,45,111,60,54,87,52.2434979,5.6343227
"Poland",7,2,32,4,3,2,0,10,4,4,2,7,4,1,2,6,52.215933,19.134422
"Portugal",38,15,128,29,33,21,37,65,44,101,117,69,82,70,43,65,39.6621648,-8.1353519
"Romania",296,200,4,181,98,74,65,92,37,65,44,51,66,10,29,45,45.9852129,24.6859225
"Sweden",1,6,2,4,4,4,5,6,3,1,4,3,7,0,0,2,59.6749712,14.5208584
"Slovenia",7,6,16,9,9,4,0,31,11,17,24,18,59,12,10,7,46.1199444,14.8153333
"Slovakia",17,23,53,27,7,8,5,12,7,10,7,3,5,3,3,1,48.7411522,19.4528646
"France",*,*,9,39,71,25,36,96,58,79,134,129,201,129,308,245,46.603354,1.8883335
"United Kingdom",81,76,42,42,52,78,50,78,67,76,98,88,92,*,*,*,54.7023545,-3.2765753
"Croatia",*,*,*,*,*,*,0,105,36,11,24,7,22,4,0,1,45.3658443,15.6575209
